Key,en,es,ar,fr
Mail OTP Resend Success!,Mail OTP Resend Success!,¡Reenvío de OTP por correo exitoso!,نجاح إعادة إرسال البريد OTP!,Mail OTP Renvoyer avec succès !
Verification code not found in temporary data,Verification code not found in temporary data,Código de verificación no encontrado en datos temporales,لم يتم العثور على رمز التحقق في البيانات المؤقتة,Code de vérification introuvable dans les données temporaires
Invalid otp code,Invalid otp code,código otp no válido,رمز OTP غير صالح,Code OTP invalide
Congratulations! Car Booking Confirmed Successfully.,Congratulations! Car Booking Confirmed Successfully.,¡Felicidades! Reserva de coche confirmada con éxito.,تهانينا! تم تأكيد حجز السيارة بنجاح.,Félicitations! Réservation de voiture confirmée avec succès.
Booking,Booking,Reserva,الحجز,Réservation
Go To Home,Go To Home,Ir a casa,اذهب إلى المنزل,Aller à la maison
Distance,Distance,Distancia,مسافة,Distance
Total Rent,Total Rent,Alquiler total,إجمالي الإيجار,Loyer total
Booking Request,Booking Request,Solicitud de reserva,طلب الحجز,Demande de réservation
On Going,On Going,En curso,على الذهاب,En cours
fess ,fess ,confesar ,fes ,fascer 
km,km,kilómetros,كم,kilomètres
Statas,Statas,estadísticas,ستاتاس,Statistiques
Request Accepted Successfully,Request Accepted Successfully,Solicitud aceptada exitosamente,تم قبول الطلب بنجاح,Demande acceptée avec succès
Request Rejected,Request Rejected,Solicitud rechazada,تم رفض الطلب,Demande rejetée
Complete,Complete,Completo,مكتمل,Complet
Tour Complete,Tour Complete,Tour completo,اكتملت الجولة,Visite terminée
Round Pick-up date,Round Pick-up date,Fecha de recogida redonda,تاريخ الاستلام الجولة,Date de retrait du tour
Booked,Booked,Reservado,حجزت,Réservé
Car Approval,Car Approval,Aprobación del coche,الموافقة على السيارة,Approbation de voiture
Vendor Name,Vendor Name,Nombre del proveedor,اسم البائع,Nom du fournisseur
Car Area,Car Area,Zona de coches,منطقة السيارة,Espace voiture
Not Approval,Not Approval,No aprobación,عدم الموافقة,Pas d'approbation
Car approval updated successfully!,Car approval updated successfully!,¡La aprobación del vehículo se actualizó correctamente!,تم تحديث موافقة السيارة بنجاح!,Homologation de voiture mise à jour avec succès !
Booking Logs,Booking Logs,Registros de reserva,سجلات الحجز,Journaux de réservation
Enter Subject,Enter Subject,Ingresar Asunto,أدخل الموضوع,Entrez le sujet
Your KYC information is submitted. Please wait for admin confirmation. When you are KYC verified you will show your submitted information here.,Your KYC information is submitted. Please wait for admin confirmation. When you are KYC verified you will show your submitted information here.,"Se envía su información KYC. Espere la confirmación del administrador. Cuando esté verificado por KYC, mostrará la información enviada aquí.",تم تقديم معلومات KYC الخاصة بك. الرجاء الانتظار لتأكيد المشرف. عندما يتم التحقق من KYC، ستعرض معلوماتك المقدمة هنا.,"Vos informations KYC sont soumises. Veuillez attendre la confirmation de l'administrateur. Une fois votre vérification KYC effectuée, vous afficherez ici les informations que vous avez soumises."
KYC-Status,KYC-Status,Estado KYC,حالة KYC,Statut KYC
Submit Type,Submit Type,Tipo de envío,إرسال النوع,Type de soumission
KYC-Verification,KYC-Verification,Verificación KYC,التحقق من KYC,Vérification KYC
Nothing to show yet,Nothing to show yet,Nada que mostrar todavía,لا شيء لإظهاره حتى الآن,Rien à montrer pour l'instant
Send Message,Send Message,Enviar mensaje,أرسل رسالة,Envoyer un message
Registration Option Currently Off,Registration Option Currently Off,Opción de registro actualmente desactivada,خيار التسجيل معطل حاليا,Option d'inscription actuellement désactivée
Select Payment Method,Select Payment Method,Seleccione método de pago,حدد طريقة الدفع,Sélectionnez le mode de paiement
Pay With,Pay With,Pagar con,ادفع باستخدام,Payer avec
Cash Balance,Cash Balance,Saldo en efectivo,الرصيد النقدي,Solde de trésorerie
Other Payment Method,Other Payment Method,Otro método de pago,طريقة الدفع الأخرى,Autre méthode de paiement
Payment,Payment,Pago,قسط,Paiement
Booking Request Sent Successfully,Booking Request Sent Successfully,Solicitud de reserva enviada correctamente,تم إرسال طلب الحجز بنجاح,Demande de réservation envoyée avec succès
Transaction failed. Record didn't saved properly. Please try again.,Transaction failed. Record didn't saved properly. Please try again.,La transacción falló. El registro no se guardó correctamente. Por favor inténtalo de nuevo.,فشلت المعاملة. لم يتم حفظ السجل بشكل صحيح. يرجى المحاولة مرة أخرى.,La transaction a échoué. L'enregistrement n'a pas été enregistré correctement. Veuillez réessayer.
Failed to save data. Please try again,Failed to save data. Please try again,No se pudieron guardar los datos. Por favor inténtalo de nuevo,فشل في حفظ البيانات. يرجى المحاولة مرة أخرى,Échec de l'enregistrement des données. Veuillez réessayer
Invalid request,Invalid request,Solicitud no válida,طلب غير صالح,Demande invalide
Payment Logs,Payment Logs,Registros de pago,سجلات الدفع,Journaux de paiement
Refund Logs,Refund Logs,Registros de reembolso,سجلات استرداد الأموال,Journaux de remboursement
Vendor wallet couldn't found,Vendor wallet couldn't found,No se pudo encontrar la billetera del proveedor,تعذر العثور على محفظة البائع,Le portefeuille du fournisseur est introuvable
Wallet Balance,Wallet Balance,Saldo de billetera,رصيد المحفظة,Solde du portefeuille
Money Withdrawl,Money Withdrawl,Retiro de dinero,سحب الأموال,Retrait d'argent
Withdraw Money,Withdraw Money,Retirar dinero,سحب الأموال,Retirer de l'argent
Withdraw Amount,Withdraw Amount,Retirar cantidad,سحب المبلغ,Montant du retrait
Receiving Gateway,Receiving Gateway,Puerta de enlace receptora,بوابة الاستلام,Passerelle de réception
Select Gateway Currency,Select Gateway Currency,Seleccione la moneda de la puerta de enlace,حدد عملة البوابة,Sélectionnez la devise de la passerelle
Summary,Summary,Resumen,ملخص,Résumé
Total Payable Amount,Total Payable Amount,Monto total a pagar,إجمالي المبلغ المستحق,Montant total à payer
Your Money Out request approved by admin,Your Money Out request approved by admin,Su solicitud de retiro de dinero aprobada por el administrador,تمت الموافقة على طلب صرف الأموال الخاص بك من قبل المشرف,Votre demande de retrait d'argent approuvée par l'administrateur
successful,successful,exitoso,ناجح,réussi
This transaction is already approved,This transaction is already approved,Esta transacción ya está aprobada,تمت الموافقة على هذه الصفقة بالفعل,Cette transaction est déjà approuvée
Action Denied!,Action Denied!,¡Acción denegada!,تم رفض الإجراء!,Action refusée !
Transaction Details,Transaction Details,Detalles de la transacción,تفاصيل المعاملة,Détails de la transaction
Payment details for,Payment details for,Detalles de pago para,تفاصيل الدفع ل,Détails de paiement pour
Payment approved successfully,Payment approved successfully,Pago aprobado exitosamente,تمت الموافقة على الدفع بنجاح,Paiement approuvé avec succès
Payment request rejected successfully,Payment request rejected successfully,Solicitud de pago rechazada exitosamente,تم رفض طلب الدفع بنجاح,Demande de paiement rejetée avec succès
Status updated successfully!,Status updated successfully!,¡Estado actualizado exitosamente!,تم تحديث الحالة بنجاح!,Statut mis à jour avec succès !
Refundable,Refundable,Reintegrable,مستردة,Remboursable
Trip ID,Trip ID,ID de viaje,معرف الرحلة,ID de voyage
Car Booking Logs,Car Booking Logs,Registros de reserva de coches,سجلات حجز السيارات,Journaux de réservation de voiture
Booking Reject,Booking Reject,Rechazo de reserva,رفض الحجز,Rejet de réservation
Booking List,Booking List,Lista de reservas,قائمة الحجز,Liste de réservation
Complete Ride,Complete Ride,Paseo completo,رحلة كاملة,Tour complet
Total Bookings,Total Bookings,Reservas totales,إجمالي الحجوزات,Total des réservations
Total Support Ticket,Total Support Ticket,Ticket de soporte total,إجمالي تذكرة الدعم,Ticket d'assistance totale
Total Ticket,Total Ticket,Boleto total,إجمالي التذكرة,Billet total
Complete Ticket,Complete Ticket,Boleto Completo,تذكرة كاملة,Billet complet
Admin Profit,Admin Profit,Beneficio administrativo,الربح الاداري,Bénéfice administratif
View Vendor,View Vendor,Ver proveedor,عرض البائع,Voir le fournisseur
Vendor Analytics,Vendor Analytics,Análisis de proveedores,تحليلات البائعين,Analyse des fournisseurs
View Users,View Users,Ver usuarios,عرض المستخدمين,Afficher les utilisateurs
Request Accepted,Request Accepted,Solicitud aceptada,تم قبول الطلب,Demande acceptée
Vendor accepted your request,Vendor accepted your request,El proveedor aceptó su solicitud,قبل البائع طلبك,Le vendeur a accepté votre demande
Vendor rejected your request,Vendor rejected your request,El proveedor rechazó su solicitud,رفض البائع طلبك,Le fournisseur a rejeté votre demande
You have completed your ride,You have completed your ride,Has completado tu viaje,لقد أكملت رحلتك,Vous avez terminé votre trajet
Ride Complete,Ride Complete,Paseo completo,اكتملت الرحلة,Trajet terminé
Payment Refunded,Payment Refunded,Pago reembolsado,تم رد الدفعة,Paiement remboursé
Admin refunded your payment,Admin refunded your payment,El administrador reembolsó su pago,رد المشرف الدفع الخاص بك,L'administrateur a remboursé votre paiement
Due payment added to your wallet,Due payment added to your wallet,Pago vencido agregado a su billetera,تمت إضافة الدفعة المستحقة إلى محفظتك,Paiement dû ajouté à votre portefeuille
Admin Rejected your payment,Admin Rejected your payment,El administrador rechazó su pago,رفض المشرف الدفع الخاص بك,Administrateur a rejeté votre paiement
Re-payment,Re-payment,Reembolso,إعادة الدفع,Remboursement
Transaction is already completed,Transaction is already completed,La transacción ya está completada.,الصفقة اكتملت بالفعل,La transaction est déjà terminée
Total Round Trips,Total Round Trips,Total de viajes de ida y vuelta,إجمالي الرحلات ذهابًا وإيابًا,Total des allers-retours
Total Ride Complete,Total Ride Complete,Viaje total completo,اكتملت الرحلة الإجمالية,Tour total terminé
Total Bookings Amount,Total Bookings Amount,Importe total de reservas,إجمالي مبلغ الحجوزات,Montant total des réservations
Vendor wallet not found!,Vendor wallet not found!,¡No se encontró la billetera del proveedor!,لم يتم العثور على محفظة البائع!,Portefeuille du fournisseur introuvable !
Vendor do not have sufficient balance,Vendor do not have sufficient balance,El proveedor no tiene saldo suficiente,البائع ليس لديه رصيد كافي,Le vendeur n'a pas de solde suffisant
Transaction Failed!,Transaction Failed!,¡La transacción falló!,فشلت الصفقة!,Échec de la transaction !
Transaction success,Transaction success,Éxito de la transacción,نجاح الصفقة,Succès des transactions
Vendor Wallet,Vendor Wallet,Cartera de vendedor,محفظة البائع,Portefeuille du fournisseur
Remark,Remark,Observación,ملاحظة,Remarque
Write Here..,Write Here..,Escribe aquí..,أكتب هنا..,Écrivez ici..
Last Edit By,Last Edit By,Última edición por,التعديل الأخير بواسطة,Dernière modification par
View More,View More,Ver más,عرض المزيد,Voir plus
Latest Withdraw Money,Latest Withdraw Money,Último retiro de dinero,أحدث سحب الأموال,Dernier retrait d'argent
Withdraw Logs,Withdraw Logs,Retirar registros,سحب السجلات,Retirer les journaux
Online Payment,Online Payment,Pago en línea,الدفع عبر الإنترنت,Paiement en ligne
Cash,Cash,Dinero,نقدي,Espèces
Per K/M Charge,Per K/M Charge,Cargo por K/M,لكل K/M تهمة,Frais par K/M
Ride Status,Ride Status,Estado del viaje,حالة الركوب,Statut du trajet
Not replied yet,Not replied yet,Aún no respondido,لم يتم الرد بعد,Pas encore répondu
Payment Type,Payment Type,Tipo de pago,نوع الدفع,Type de paiement
Car Booking Overview,Car Booking Overview,Descripción general de la reserva de coches,نظرة عامة على حجز السيارات,Aperçu de la réservation de voiture
My Cars,My Cars,mis autos,سياراتي,Mes voitures
Car Edit,Car Edit,Coche Editar,تحرير السيارة,Voiture Modifier
Area,Area,Área,منطقة,Zone
Delete,Delete,Borrar,يمسح,Supprimer
Edit,Edit,Editar,يحرر,Modifier
Accept,Accept,Aceptar,يقبل,Accepter
Total Booked,Total Booked,Total reservado,إجمالي الحجز,Total réservé
Phone No,Phone No,Número de teléfono,رقم الهاتف,Numéro de téléphone
Pick-up Location,Pick-up Location,Lugar de recogida,موقع البيك اب,Lieu de prise en charge
Pick-up Date,Pick-up Date,Fecha de recogida,تاريخ الاستلام,Date de prise en charge
Pick-up Time,Pick-up Time,Hora de recogida,وقت الاستلام,Heure de prise en charge
Round Trip Time,Round Trip Time,Tiempo de ida y vuelta,وقت الرحلة ذهابًا وإيابًا,Temps de trajet aller-retour
Round Trip Date,Round Trip Date,Fecha de ida y vuelta,تاريخ الرحلة ذهابًا وإيابًا,Date du voyage aller-retour
History List,History List,Lista de Historia,قائمة التاريخ,Liste historique
Total Payments,Total Payments,Pagos totales,إجمالي المدفوعات,Paiements totaux
Total Vendor,Total Vendor,Proveedor total,إجمالي البائع,Total du fournisseur
Completed,Completed,Terminado,مكتمل,Complété
Monthly Money Out Chart,Monthly Money Out Chart,Tabla de retiro de dinero mensual,الرسم البياني للأموال الشهرية,Tableau des retraits d'argent mensuels
All,All,Todo,الجميع,Tous
Latest Money Withdraw,Latest Money Withdraw,Último retiro de dinero,أحدث سحب الأموال,Dernier retrait d'argent
Add Car Type,Add Car Type,Agregar tipo de auto,أضف نوع السيارة,Ajouter un type de voiture
Add Type,Add Type,Agregar tipo,أضف النوع,Ajouter un type
Add Area,Add Area,Agregar área,أضف منطقة,Ajouter une zone
Car Types,Car Types,Tipos de coches,أنواع السيارات,Types de voitures
Edit Car Type,Edit Car Type,Editar tipo de coche,تحرير نوع السيارة,Modifier le type de voiture
Car Area Create,Car Area Create,Crear área de coche,إنشاء منطقة السيارة,Création d'un espace automobile
Area Name,Area Name,Nombre del área,اسم المنطقة,Nom de la zone
Car Area Edit,Car Area Edit,Área del coche Editar,تحرير منطقة السيارة,Zone de voiture Modifier
Fees,Fees,Honorarios,مصاريف,Frais
Conversion Amount,Conversion Amount,Monto de conversión,مبلغ التحويل,Montant de conversion
Date,Date,Fecha,تاريخ,Date
Add Money Details,Add Money Details,Agregar detalles de dinero,أضف تفاصيل الأموال,Ajouter des détails sur l'argent
Update Status,Update Status,Estado de actualización,تحديث الحالة,Statut de la mise à jour
Transaction ID,Transaction ID,ID de transacción,معرف المعاملة,ID de transaction
After Charge,After Charge,Después de la carga,بعد الشحن,Après le chargement
Receiver Will Get,Receiver Will Get,El receptor obtendrá,سوف يحصل المتلقي,Le destinataire obtiendra
Model,Model,Modelo,نموذج,Modèle
Number,Number,Número,رقم,Nombre
Seat Number,Seat Number,Número de asiento,رقم المقعد,Numéro de siège
Experience Year,Experience Year,Año de experiencia,سنة الخبرة,Année d'expérience
Total Distance,Total Distance,Distancia Total,المسافة الإجمالية,Distance totale
Payable Amount,Payable Amount,Monto a pagar,المبلغ المستحق,Montant à payer
Car Information,Car Information,Información del coche,معلومات السيارة,Informations sur la voiture
Booking Information,Booking Information,Información de reserva,معلومات الحجز,Informations de réservation
User Information,User Information,Información del usuario,معلومات المستخدم,Informations utilisateur
Booking Details,Booking Details,Detalles de la reserva,تفاصيل الحجز,Détails de la réservation
Bookings ,Bookings ,Reservas ,الحجوزات ,Réservations 
Booking Rejected,Booking Rejected,Reserva rechazada,تم رفض الحجز,Réservation rejetée
Round Trips,Round Trips,Viajes de ida y vuelta,رحلات ذهابًا وإيابًا,Aller-retour
Options,Options,Opciones,خيارات,Possibilités
Banned Vendor,Banned Vendor,Proveedor prohibido,البائع المحظور,Vendeur banni
Book Your Car,Book Your Car,Reserva tu coche,احجز سيارتك,Réservez votre voiture
Enter Google Authenticator Code,Enter Google Authenticator Code,Ingrese el código de autenticación de Google,أدخل رمز مصادقة جوجل,Entrez le code d'authentification Google
Two Factor Authenticator,Two Factor Authenticator,Autenticador de dos factores,عامل المصادقة الثنائية,Authentificateur à deux facteurs
"Google Authenticator adds an extra layer of security to your online accounts by adding a second step of verification when you sign in. This means that in addition to your password, you'll also need to enter a code that is generated by the Google Authenticator app on your phone.","Google Authenticator adds an extra layer of security to your online accounts by adding a second step of verification when you sign in. This means that in addition to your password, you'll also need to enter a code that is generated by the Google Authenticator app on your phone.","Google Authenticator agrega una capa adicional de seguridad a sus cuentas en línea al agregar un segundo paso de verificación cuando inicia sesión. Esto significa que, además de su contraseña, también deberá ingresar un código generado por la aplicación Google Authenticator en su teléfono.",يضيف Google Authenticator طبقة إضافية من الأمان إلى حساباتك عبر الإنترنت عن طريق إضافة خطوة ثانية للتحقق عند تسجيل الدخول. وهذا يعني أنه بالإضافة إلى كلمة المرور الخاصة بك، ستحتاج أيضًا إلى إدخال رمز تم إنشاؤه بواسطة تطبيق Google Authenticator على هاتفك.,"Google Authenticator ajoute une couche de sécurité supplémentaire à vos comptes en ligne en ajoutant une deuxième étape de vérification lorsque vous vous connectez. Cela signifie qu'en plus de votre mot de passe, vous devrez également saisir un code généré par l'application Google Authenticator sur votre téléphone."
How to Setup,How to Setup,Cómo configurar,كيفية الإعداد,Comment configurer
No car added yet,No car added yet,Aún no se ha añadido ningún coche,لم تتم إضافة أي سيارة حتى الآن,Aucune voiture ajoutée pour l'instant
No Bookings Found!,No Bookings Found!,¡No se encontraron reservas!,لم يتم العثور على أي حجوزات!,Aucune réservation trouvée !
Vendor Logo (Light Version),Vendor Logo (Light Version),Logotipo del proveedor (versión ligera),شعار البائع (الإصدار الخفيف),Logo du fournisseur (version légère)
Vendor Favicon (Light Version),Vendor Favicon (Light Version),Favicon de vendedor (versión ligera),أيقونة البائع المفضلة (الإصدار الخفيف),Favicon du fournisseur (version légère)
Vendor Logo (Dark Version),Vendor Logo (Dark Version),Logotipo del proveedor (versión oscura),شعار البائع (الإصدار الداكن),Logo du fournisseur (version sombre)
Vendor Favicon (Dark Version),Vendor Favicon (Dark Version),Favicon del proveedor (versión oscura),أيقونة البائع المفضلة (الإصدار الداكن),Favicon du fournisseur (version sombre)
Vendor Splash Screen,Vendor Splash Screen,Pantalla de presentación del proveedor,شاشة البداية للمورد,Écran de démarrage du fournisseur
Vendor App URLs,Vendor App URLs,URL de aplicaciones de proveedores,عناوين URL لتطبيقات البائع,URL des applications des fournisseurs
Vendor App Settings,Vendor App Settings,Configuración de la aplicación del proveedor,إعدادات تطبيق البائع,Paramètres de l'application du fournisseur
Vendor Onboard Screen,Vendor Onboard Screen,Pantalla integrada del proveedor,شاشة البائع على متن الطائرة,Écran intégré du fournisseur
Due Payment,Due Payment,Pago vencido,الدفع المستحق,Paiement dû
Cash Payment Charge,Cash Payment Charge,Cargo por pago en efectivo,رسوم الدفع النقدي,Frais de paiement en espèces
Not Approved,Not Approved,No aprobado,غير معتمد,Non approuvé
Total Booking Request,Total Booking Request,Solicitud de reserva total,إجمالي طلب الحجز,Demande de réservation totale
Total Complete Trip,Total Complete Trip,Total viaje completo,إجمالي الرحلة الكاملة,Voyage complet total
Total Round Trip,Total Round Trip,Total ida y vuelta,إجمالي الرحلة ذهابًا وإيابًا,Aller-retour total
Recent Booking Logs,Recent Booking Logs,Registros de reservas recientes,سجلات الحجز الأخيرة,Journaux de réservation récents
No notification yet,No notification yet,Aún no hay notificación,لا يوجد إشعار حتى الآن,Aucune notification pour l'instant
Delete Account,Delete Account,Eliminar cuenta,حذف الحساب,Supprimer le compte
Please select future time,Please select future time,Por favor seleccione hora futura,الرجاء تحديد الوقت المستقبلي,Veuillez sélectionner une heure ultérieure
Please verify your KYC information first,Please verify your KYC information first,Primero verifique su información KYC,يرجى التحقق من معلومات KYC الخاصة بك أولاً,Veuillez d'abord vérifier vos informations KYC
Your KYC information is pending. Please wait for admin confirmation.,Your KYC information is pending. Please wait for admin confirmation.,Su información KYC está pendiente. Espere la confirmación del administrador.,معلومات KYC الخاصة بك في انتظار المراجعة. الرجاء الانتظار لتأكيد المشرف.,Vos informations KYC sont en attente. Veuillez attendre la confirmation de l'administrateur.
Total Income,Total Income,Ingresos totales,إجمالي الدخل,Revenu total
Manual Payment Methods,Manual Payment Methods,Métodos de pago manuales,طرق الدفع اليدوية,Méthodes de paiement manuelles
Automatic Payment Methods,Automatic Payment Methods,Métodos de pago automático,طرق الدفع التلقائية,Méthodes de paiement automatiques
Automatic Payment Method Edit,Automatic Payment Method Edit,Método de pago automático Editar,تعديل طريقة الدفع التلقائية,Mode de paiement automatique Modifier
Manual Payment Method Edit,Manual Payment Method Edit,Método de pago manual Editar,تعديل طريقة الدفع اليدوية,Modifier le mode de paiement manuel
Payment Method,Payment Method,Método de pago,طريقة الدفع,Mode de paiement
Automatic Payment Method,Automatic Payment Method,Método de pago automático,طريقة الدفع التلقائية,Méthode de paiement automatique
Add Automatic Gateway (Payment Method),Add Automatic Gateway (Payment Method),Agregar puerta de enlace automática (método de pago),إضافة بوابة تلقائية (طريقة الدفع),Ajouter une passerelle automatique (mode de paiement)
Manual Payment Method,Manual Payment Method,Método de pago manual,طريقة الدفع اليدوية,Mode de paiement manuel
Proceed Web,Proceed Web,Continuar Web,المضي قدما على شبكة الإنترنت,Continuer Web
Preview Web,Preview Web,Vista previa web,معاينة الويب,Aperçu Web
Full Amount,Full Amount,Monto total,المبلغ كاملا,Montant total
Monthly Payment Chart,Monthly Payment Chart,Tabla de pagos mensuales,مخطط الدفع الشهري,Tableau de paiement mensuel
Withdraw Overview,Withdraw Overview,Resumen de retiro,نظرة عامة على السحب,Aperçu du retrait
Booking Overview,Booking Overview,Resumen de reservas,نظرة عامة على الحجز,Aperçu de la réservation
appLPleaseFillOutTheField,Please Fill Out The Field,Por favor complete el campo,يرجى ملء الحقل,Veuillez remplir le champ
appLFrom,From,De,من,Depuis
appLFromGallery,From Gallery,De la galería,من المعرض,De la galerie
appLFromCamera,From Camera,Desde la cámara,من الكاميرا,Depuis la caméra
appLHistory,History,Historia,تاريخ,Histoire
appLPrivacyPolicy,Privacy Policy,política de privacidad,سياسة الخصوصية,politique de confidentialité
appLPreview,Preview,Avance,معاينة,Aperçu
appLLogOutAlert,Log Out Alert,Alerta de cierre de sesión,تنبيه تسجيل الخروج,Alerte de déconnexion
appLAboutUs,About Us,Sobre nosotros,معلومات عنا,À propos de nous
appLBookingPreview,Booking Preview,Vista previa de la reserva,معاينة الحجز,Aperçu de la réservation
appLPayment,Payment,Pago,قسط,Paiement
appLConfirmation,Confirmation,Confirmación,تأكيد,Confirmation
appLSuccess,Successful,Exitoso,ناجح,Réussi
appLBackToHome,Back To Home,Volver a casa,العودة إلى المنزل,Retour à la maison
appLServerError,Server Error,Error del servidor,خطأ في الخادم,Erreur de serveur
appLPaymentInstructions,Payment Instructions,Instrucciones de pago,تعليمات الدفع,Instructions de paiement
appLNewToCarbo,New to Carbo?,¿Nuevo en Carbó?,هل أنت جديد في كاربو؟,Vous êtes nouveau sur Carbo ?
appLAgreeToTerms,Please agree to the Terms and Conditions,Por favor acepte los Términos y Condiciones,يرجى الموافقة على الشروط والأحكام,Veuillez accepter les termes et conditions
appLSpeed,Speed,Velocidad,سرعة,Vitesse
appLKmCharge,Km Charge :,Cargo por kilómetros:,تهمة كم:,Frais kilométriques :
appLHelpCenter,Help Center,Centro de ayuda,مركز المساعدة,Centre d'aide
appLAcceleration,Acceleration,Aceleración,تسريع,Accélération
appLTotalBooked,Total Booked,Total reservado,إجمالي الحجز,Total réservé
appLCompleteRide,Complete Ride,Paseo completo,رحلة كاملة,Tour complet
appLRoundTrip,Round Trip,Ida y vuelta,رحلة ذهابا وإيابا,Aller-retour
appLBookingReject,Booking Reject,Rechazo de reserva,رفض الحجز,Rejet de réservation
appLTopSpeed,Top Speed,Velocidad máxima,السرعة القصوى,Vitesse maximale
appLPeakPower,Peak Power,Potencia máxima,قوة الذروة,Puissance de crête
appLPending,Pending,Pendiente,قيد الانتظار,En attente
appLPleaseWait,Please Wait,Espere por favor,انتظر من فضلك,"S'il vous plaît, attendez"
appLSetting,Setting,Configuración,جلسة,Paramètre
appLOngoing,Ongoing,En curso,مستمر,En cours
appLComplete,Complete,Completo,مكتمل,Complet
appLReject,Rejected,Rechazado,مرفوض,Rejeté
appLRange,Range,Rango,يتراوح,Gamme
appLDetails,Details,Detalles,تفاصيل,Détails
appLReview,Reviews,Reseñas,التعليقات,Avis
appLPerMonth,/per month,/por mes,/كل شهر,/par mois
appLBookNow,Book Now,Reserva ahora,احجز الآن,Réservez maintenant
appLBookYorCarVendor,Book Your Car,Reserva tu coche,احجز سيارتك,Réservez votre voiture
appLBook,Book,Libro,كتاب,Livre
appLCarNumber,Car Number,Número de coche,رقم السيارة,Numéro de voiture
appLTotalSeat,Total Seat,Asiento total,إجمالي المقعد,Siège total
appLExperience,Experience,Experiencia,خبرة,Expérience
appLCarModel,Car Model,Modelo de coche,موديل السيارة,Modèle de voiture
appLYourLocation,Your Location,Tu ubicación,موقعك,Votre emplacement
appLLogin,Login,Acceso,تسجيل الدخول,Se connecter
appLNotification,Notification,Notificación,إشعار,Notification
appLNoNotification,No notifications yet.,Aún no hay notificaciones.,لا توجد إخطارات حتى الآن.,Aucune notification pour l'instant.
appLNoHistory,No History yet.,Aún no hay historial.,لا يوجد تاريخ بعد.,Pas d'historique pour l'instant.
appLLoginNow,Login Now,Iniciar sesión ahora,تسجيل الدخول الآن,Connectez-vous maintenant
appLRegisterNow,Register Now,Regístrese ahora,سجل الآن,Inscrivez-vous maintenant
appLEmail,Email,Correo electrónico,بريد إلكتروني,E-mail
appLForgotPassword,Forgot Password ?,Has olvidado tu contraseña ?,هل نسيت كلمة السر ؟,Mot de passe oublié ?
appLAlreadyHaveAnAccount,Already Have An Account?,¿Ya tienes una cuenta?,هل لديك حساب بالفعل؟,Vous avez déjà un compte ?
appLFirstName,First Name,Nombre de pila,الاسم الأول,Prénom
appLLastName,Last Name,Apellido,اسم العائلة,Nom de famille
appLPickUpLocation,Pick-up Location,Lugar de recogida,موقع البيك اب,Lieu de prise en charge
appLWriteHere,write Here,Escribe aquí,اكتب هنا,Écrivez ici
appLDestination,Destination,Destino,وجهة,Destination
appLDistance,Distance K/m,Distancia K/m,المسافة ك/م,Distance K/m
appLPickUpdate,Pick-up Date,Fecha de recogida,تاريخ الاستلام,Date de prise en charge
appLStatus,Status,Estado,حالة,Statut
appLNoCarFindMessage,We could not find any cars based on your search.,No pudimos encontrar ningún automóvil según su búsqueda.,لم نتمكن من العثور على أي سيارات بناء على بحثك.,Nous n'avons trouvé aucune voiture en fonction de votre recherche.
appLTotalAmount,Total Amount,Monto total,المبلغ الإجمالي,Montant total
appLTotalRent,Total Rent,Alquiler total,إجمالي الإيجار,Loyer total
appLRate,Rate,Tasa,معدل,Taux
appLTotalPayable,Total Payable,Total a pagar,مجموع المستحق الدفع,Total à payer
appLPickUpTime,Pick-up Time,Hora de recogida,وقت الاستلام,Heure de prise en charge
appLEmailAddress,Email Address,Dirección de correo electrónico,عنوان البريد الإلكتروني,Adresse email
appLPassword,Password,Contraseña,كلمة المرور,Mot de passe
appLIHaveAgreedWith,I have agreed with,he estado de acuerdo con,لقد اتفقت مع,je suis d'accord avec
appLTermsOfUse,Terms and Condition,Términos y condiciones,الشروط والأحكام,Termes et conditions
appLSendOtp,Send OTP,Enviar OTP,أرسل كلمة مرور لمرة واحدة,Envoyer OTP
appLError,Error,Error,خطأ,Erreur
appLPleaseEnterTheCode,Please enter the verification code,Por favor ingresa el código de verificación,الرجاء إدخال رمز التحقق,Veuillez entrer le code de vérification
appLWeSentADigitCode,We sent a 6 digit code here,Enviamos un código de 6 dígitos aquí.,لقد أرسلنا رمزًا مكونًا من 6 أرقام هنا,Nous avons envoyé un code à 6 chiffres ici
appLDidntGetTheCode,Didnt get the code?,¿No recibiste el código?,لم تحصل على الرمز؟,Vous n'avez pas reçu le code ?
appLResend,Resend,Reenviar,إعادة الإرسال,Renvoyer
appLSubmit,Submit,Entregar,يُقدِّم,Soumettre
appLLogInTitleText,Login Or Register for an Account Today,Inicie sesión o regístrese para obtener una cuenta hoy,تسجيل الدخول أو التسجيل للحصول على حساب اليوم,Connectez-vous ou créez un compte aujourd'hui
appLResetPasswordTitleText,Reset Your Forgotten Password?,¿Restablecer su contraseña olvidada?,إعادة تعيين كلمة المرور المنسية؟,Réinitialiser votre mot de passe oublié ?
